,label
0,1
1,0
2,1
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,1
84,1
85,0
86,1
87,0
88,0
89,0
90,1
91,1
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,0
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
