text,label
IISF works foster investor collaboration engagement eliminate deforestation soy cattle supply chains South America,sustainable
The carbon-intensity lease portfolio 141 tonnes CO2 per million euros financial exposure 2.12 tonnes CO2 per unit,unsustainable
The classifcation based EU taxonomy environmental criteria ii scope 1 2 carbon emissions data client level available sectoral level iii internal expert judgement,unsustainable
These joint initiatives help reduce environmental footprint improve tenant satisfaction increase building occupancy,sustainable
Carbon intensity This data provided Trucost This corresponds companies ’ annual greenhouse gas emissions expressed metric tons carbon dioxide equivalent,unsustainable
For reason strive reach intensity targets continuing link investment processes closely possible real-world decarbonization,sustainable
Furthermore ABN AMRO set collaboration Ecochain use life cycle assessment methodology show business clients make operations sustainable,sustainable
BNY Mellon heating cooling consumption,sustainable
CNP Assurances addresses climate risk management integrating environmental criteria carbon-reduction objectives existing real estate portfolio three ways : systematic analysis improvement energy performance planning work ; commitment reduce GHG emissions related energy consumption 40 % directly owned assets plus wholly owned non-trading real estate companies 2006 2021 : point falls within scope Gréco project launched CNP Assurances 2012 aim drafting work plans tailored building outset order reduce CO2 energy consumption ; commitment related signing Energy Efficiency Charter Commercial Buildings,sustainable
The reintegrations represent quantity cooling fluids used maintenance air-conditioning equipment gas operation recovered replaced new one,unsustainable
The impact transport Mister Auto parts Group ’ global carbon footprint therefore considered non-material,unsustainable
Talent attraction retention Creating safe healthy motivating working environment well-being personal professional development employees key,sustainable
“ Business usual ” option exact role fertilizers longer term remains unclear stage,unsustainable
Every year Amundi strives integrate recyclable materials sorting line,sustainable
The project ’ long-term goal make plastics recyclable yet recycled mixed plastics plastics residues,sustainable
Additionally Allianz strong partner transition low-carbon economy,sustainable
The simultaneous existence undernourishment obesity environmental footprint food production food waste puts global food system significant stress,unsustainable
Our employee engagement level regularly calculated index score based set questions employee surveys,sustainable
Based portfolio analysis described working white papers energy commercial real estate agriculture food production building construction chemicals transportation metals industry sectors well three specific product lines : mortgages car loans car leasing,sustainable
If continue along ‘ BAU ’ scenario next 10 years green low-carbon technologies developed fast enough support desired temperature outcome,unsustainable
Our unavoidable carbon emissions building energy use leased vehicles business travel offset purchase retirement high quality emission reduction certificates part carbon neutral activities Deutsche Bank,sustainable
To end he/she suggest issue amendment guidelines operating procedures order reduce risk violation Code suggest Ethics Sustainability Committee make updates Code Ethics,sustainable
An additional acquisition global vegetable seeds business followed August 16 2018,unsustainable
To reduce impact environment adopted well-recognized green building standards LEED Leadership Energy Environmental Design local green building standards manage real estate 's environmental aspect including green lease,sustainable
We invest sustainable assets ensure mobility solutions safe reliable resilient,sustainable
In handling health crisis Amundi reduced plastic consumption waste production,sustainable
Treat reuse waste track collection,sustainable
The Aurum Group continues strive reduce carbon footprint world begins open look ways continue maintain low emissions wherever possible,sustainable
Based GHG protocol Scope 2 Guidance Scope 3 Standard energy consumption heating purposes leased space UBS operational control heating system classified indirect GHG emissions,unsustainable
The Employee Satisfaction Survey conducted condition anonymity order collect frank honest opinions,unsustainable
One investee expanded include 628 smallholder rice farmers 28 % women received training Good Agricultural Practices financial support irrigation charges,sustainable
Techem ’ services solutions offered help avoid 6.5 million tonnes CO2–emissions every year,sustainable
In addition committed carbon neutral global operations Scope 1 direct energy usage Scope 2 indirect energy emissions beginning 2020 reporting year,sustainable
In Europe building stock sector generates 40 % energy consumption accounts 36 % CO2 emissions,unsustainable
Through fund investments also finance energy innovations energy efficiency measures renewable energy small large scale enable global energy transition,sustainable
On hand vegetables fruits wheat lowest environmental impact,unsustainable
Our “ Skills Accelerator ” personal professional development program open employees “ EMPOWER ” program designed encourage employees dedicate time aligning skills Company needs jobs future,sustainable
According chart consumers reduce intake processed meat eggs red meat milk favor nuts seeds whole grain products legumes poultry,unsustainable
In 2020 increase mainly due increase number petrol powered 176 vehicles Gori increase consumption Acea Ato 2,unsustainable
Companies large carbon footprint increasingly affected carbon mitigation adaptation policies pressured activist organisations financial markets,unsustainable
Amundi pursues responsible paper policy France abroad objective reducing use paper promoting careful use paper recycling used paper,sustainable
However minimizing use chemicals benefits health environment arguably potential threat food sector given need produce food feed growing global population,unsustainable
We reduced like-for-like carbon emissions 5 % Scope 1 11 % Scope 2 2019 compared 2018 performance,sustainable
The responsibilities described also apply product packaging recycling,unsustainable
Springmann ’ analysis also showed regard actual food intake country fulfilled eight recommendations relating recommended food groups e.g fruit vegetables legumes nuts seeds whole grains fish well food groups discouraged sugar red meat processed meat,unsustainable
It reduced water needed manufacturing process recycles 100 % waste water improved replenishment water factory harvesting pond harvesting,sustainable
Whether local global four focus areas community pillar : charity financial support payroll giving volunteering fundraising,sustainable
As always use Forest Stewardship Council equivalent approved chlorine-free paper products well-managed forests recycled sources mailings,sustainable
There also growing number cities restricted traffic areas exclude vehicles highest emissions,unsustainable
The proponent also highlighted lack Scope 3 emissions reduction targets,unsustainable
CNP Assurances committed 2019 doubling green investment assets woodland green bonds high energy- performance buildings green infrastructure renewable energy projects low-carbon transport mobility €20 billion end 2023 compared €10.4 billion end 2018,sustainable
In offices branches also strive reduce power consumption adjustment air-conditioning settings measures,sustainable
CO2 emissions composting plants Orvieto related ancillary services waste-to-energy 211 plants strictly related production electricity,unsustainable
Acea Elabori entered Collaboration Agreement Sapienza University Rome ’ Civil Industrial Engineering Faculty development effective training course connected needs world work dissemination scientific culture student support increasing female enrolment Faculty ’ courses signed Framework Agreement CNR Italian National Research Council collaborate minimising production sludge chemical contaminants ; combined treatments liquid waste sludge organic fraction municipal solid waste OFMSW recovery material energy view circular economy sustainable management ; mobile plants localised treatment sludge waste ; issue atmospheric emissions focus innovative solutions sustainable management water resources,sustainable
These data reflect incidents classified significant,unsustainable
Scope 2 includes emissions purchased energy electricity district heating,unsustainable
Combining evaluation criteria allow us reduce sustainability risk fund,sustainable
Many clients already subject climate change regulation EU Emissions Trading Scheme,unsustainable
After long standing tenants moved building BNP Paribas REIM able completely renovate asset recycled materials minimizing energy consumption improving biodiversity,sustainable
Malnutrition reason global food system needs change,unsustainable
In 2015 part low-carbon strategy CNP Assurances signed Energy Efficiency Charter Commercial Buildings thereby illustrating desire become involved green building sector,sustainable
To reduce emissions related supply chain responsible supply chain management framework continues drive sustainable procurement done since 2008,sustainable
We anticipating risks climate change protecting caring customers insurance products enabling transition low-carbon economy insurance investment activities,sustainable
We worked clients fund wide variety sustainable infrastructure helping reduce emissions conserve resources build stronger sustainable economy,sustainable
Launched 2017 new Peugeot 308 new generation installed Groupe PSA vehicles across 100 models 70 countries,unsustainable
The goal optimize yields reduce impact environment able offer certified sustainable castor oil global market,sustainable
Furthermore upon calculating CO2 emissions company confirmed 70 % CO2 emissions business operations attributable domestic international air travel shown graph,unsustainable
An impairment recognized recoverable amount asset lower carrying amount,unsustainable
Circular economy systems promote reuse refurbishment recycling products assets minimizing emissions waste resource use,unsustainable
According calculations made using tools Scope 3 Evaluator designed GHG greenhouse gas Protocol Quantis sectors product lines assessed represent around two-thirds GHG emissions linked loan portfolio,unsustainable
Amundi annually calculates CO2 emissions two major categories : energy business travel,unsustainable
Our services assess onsite product packaging processes waste recycling solutions support customers demonstrating site-based environmental commitment,sustainable
Scope 3 emissions associated combustion fossil fuels contribute majority emissions within sector,unsustainable
ČSOB Czech Republic meanwhile offers green car loan preferential fixed interest rate financing electric vehicles EVs hybrids plug-in hybrids mild hybrids CNG compressed natural gas hydrogen cell-powered vehicles,sustainable
To help us focus things matter employees Europa promotes continuous performance development cycle encouraging employee feedback targeted surveys annual appraisal reviews,sustainable
A circular economy — keeping materials use — reduce emissions plastic pollution,unsustainable
If indication impairment exists estimate asset ’ recoverable amount calculated,unsustainable
Main areas innovation : autonomous vehicle driver assistance technologies energy transfer electric vehicles future,unsustainable
"In 2020 Foxway repaired rescued 646,249 products harvested 74,000 components 2020",sustainable
KBC Belgium offers handy solutions KBC Mobile app users travelling car public transport,sustainable
The Alliance used One Earth Climate Model produced University Technology Sydney UTS set decarbonization objectives highest emitting sectors,sustainable
Learn efforts reduce scope 3 emissions Climate action chapter,unsustainable
84 % employees feel flexible work arrangements meet needs according recent employee engagement survey,sustainable
In 2020 CNP Assurances formalised commitment signing Tobacco-Free Finance Pledge,sustainable
BNP Paribas Real Estate developed operational roadmaps three key topics : low carbon biodiversity circular economy,sustainable
We focus areas greatest exposure influence companies reduce emissions line net-zero objective,sustainable
Impairment tests based comparison carrying amount recoverable amount,unsustainable
The term “ carbon footprint ” report refers absolute emissions financed BlackRock ’ clients ’ investments corporate securities real estate divided BlackRock ’ AUM rounded $ millions investments,unsustainable
Today 75 % waste produced metal waste subsequently recycled,unsustainable
Our goal minimize risks along entire transportation chain – loading transportation unloading,sustainable
Each summer many 15 million American children lose access free reduced-cost meals school year ends,unsustainable
"This one project reduce energy use site 43,200 kWh",sustainable
The company reduced carbon footprint 50 % since 2018 reduced carbon intensity 46 % period,sustainable
Doing require changes sectors economy particularly transformation critical areas like energy power transportation real estate,unsustainable
They continuing explore new sustainable road infrastructure solutions charging stations electric vehicles solar-powered lighting,sustainable
Biogenic emissions Scope 3 present recorded,unsustainable
We encourage employees including permanent seconded contract temporary staff pursue self-development professional development,sustainable
In concrete terms involves identifying incidents events could negative impact stakeholders environment company ’ activities assessing exposure ESG risks,unsustainable
We encourage use public transportation available transit pass program provides benefits aids reduction traffic congestion carbon emissions,sustainable
It obligatory report Scope 3 indirect emissions inputs outputs main business activity – i.e supply chain consumer/end-user related emissions,unsustainable
Is organization ’ low-carbon transition plan scheduled resolution item Annual General Meetings AGMs ?,unsustainable
"This equates 1,733 tCO2e new source Scope 3 emissions",unsustainable
Recent high-profile examples include paper decarbonization analyzed role five key technologies delivering low-carbon transition — renewables electric vehicles carbon capture storage biofuels hydrogen,unsustainable
Therefore CO2 emissions products incinerated calculated multiplying CO2 emissions per kg amount pre-product,unsustainable
We provide financing circular business activities,sustainable
Our institutional retirement business committed reduce portfolio carbon emission intensity 18.5 % 2025,sustainable
The areas concern climate change water deforestation healthcare developing countries,unsustainable
Specifically tenders water electrical civil engineering works awarded method indicated rewarding criteria also included regarding use ecological vehicles additional training workers area safety possession certifications already participation requirements following areas : environment health/safety energy efficiency use environmentally sustainable materials corruption,unsustainable
Our objective engagements encourage companies set validated scientifc objectives reduce GHG emissions line 2015 Paris Agreement,sustainable
The carrying amount CGU compared recoverable amount,unsustainable
JPMorgan Chase — principally CIB CB businesses — provides strategic advice raises capital extends loans offers risk management solutions help clients achieve sustainability objectives make transition low-carbon economy,sustainable
We reduced firm ’ greenhouse gas GHG footprint 71 % 2019 compared 2004 levels,sustainable
Scope 2 GHG emission factors used 2019 extracted EMA Singapore Energy Statistics 2019 2018 National Greenhouse Energy Reporting Australia IEA Emission factors 2019 CLP Holdings Sustainability Report 2019 HK Electric Investments Sustainability Report 2019,unsustainable
In addition encourage use virtual meetings train transportation,sustainable
In October 2019 announced commitment achieve 50 % reduction carbon emissions intensity 2030 across entire portfolio Europe offices baseline year 2017,sustainable
Overall countries highest score deemed better sustainable food systems,unsustainable
"This lower annual CO2 emissions 10,000 metric tons",sustainable
The management approach thus relied several non-financial trends various GREaT themes implemented mainly concerned : natural resource management environmental protection ; access medicine treatment healthcare equipment development medicine integrates new technology ; responsible purchasing policies development health-friendly products ; business consumer services facilitating emergence low-carbon economy better use energy helping bridge digital divide ; reductions high greenhouse gas emitting sectors achieved oil chemicals greener energies strengthened,sustainable
