text,label
IISF works foster investor collaboration engagement eliminate deforestation soy cattle supply chains South America .,1
The carbon-intensity lease portfolio 141 tonnes CO2 per million euros financial exposure 2.12 tonnes CO2 per unit .,0
"The classifcation based ( ) EU taxonomy environmental criteria , ( ii ) scope 1 2 carbon emissions data client level ( available ) sectoral level ( iii ) internal expert judgement .",0
"These joint initiatives help reduce environmental footprint , improve tenant satisfaction increase building occupancy .",1
"Carbon intensity This data provided Trucost , This corresponds companies ’ annual greenhouse gas emissions expressed metric tons carbon dioxide equivalent .",0
"For reason , strive reach intensity targets continuing link investment processes closely possible real-world decarbonization .",1
"Furthermore , ABN AMRO set collaboration Ecochain use life cycle assessment methodology show business clients make operations sustainable .",1
BNY Mellon heating cooling consumption .,1
CNP Assurances addresses climate risk management integrating environmental criteria carbon-reduction objectives existing real estate portfolio three ways : systematic analysis improvement energy performance planning work ; commitment reduce GHG emissions related energy consumption 40 % directly owned assets ( plus wholly owned non-trading real estate companies ) 2006 2021 : point falls within scope Gréco project launched CNP Assurances 2012 aim drafting work plans tailored building outset order reduce CO2 energy consumption ; commitment related signing Energy Efficiency Charter Commercial Buildings .,1
"The reintegrations represent quantity cooling fluids used maintenance air-conditioning equipment , gas operation recovered replaced new one .",0
The impact transport Mister Auto parts Group ’ global carbon footprint therefore considered non-material .,0
"Talent attraction retention Creating safe , healthy motivating working environment well-being personal professional development employees key .",1
"“ Business usual ” option , exact role fertilizers longer term remains unclear stage .",0
"Every year , Amundi strives integrate recyclable materials sorting line .",1
"The project ’ long-term goal make plastics recyclable yet recycled , mixed plastics plastics residues .",1
"Additionally , Allianz strong partner transition low-carbon economy .",1
"The simultaneous existence undernourishment , obesity , environmental footprint food production food waste puts global food system significant stress .",0
Our employee engagement level regularly calculated index score based set questions employee surveys .,1
"Based portfolio analysis described , working white papers energy , commercial real estate , agriculture , food production , building construction , chemicals , transportation metals industry sectors , well three specific product lines : mortgages , car loans car leasing .",1
"If continue along ‘ BAU ’ scenario next 10 years , green low-carbon technologies developed fast enough support desired temperature outcome .",0
"Our unavoidable carbon emissions building energy use , leased vehicles business travel offset purchase retirement high quality emission reduction certificates part carbon neutral activities Deutsche Bank .",1
"To end , he/she suggest issue amendment guidelines operating procedures order reduce risk violation Code suggest Ethics Sustainability Committee make updates Code Ethics .",1
"An additional acquisition global vegetable seeds business followed August 16 , 2018 .",0
"To reduce impact environment , adopted well-recognized green building standards , LEED ( Leadership Energy Environmental Design ) local green building standards , manage real estate 's environmental aspect , including green lease .",1
"We invest sustainable assets ensure mobility solutions safe , reliable , resilient .",1
"In handling health crisis , Amundi reduced plastic consumption waste production .",1
Treat reuse waste track collection .,1
The Aurum Group continues strive reduce carbon footprint world begins open look ways continue maintain low emissions wherever possible .,1
