text,label
IISF works to foster investor collaboration and engagement to eliminate deforestation from soy and cattle supply chains in South America.,sustainable
The carbon-intensity of the lease portfolio is 141 tonnes of CO2 per million euros financial exposure and 2.12 tonnes of CO2 per unit.,unsustainable
"The classifcation is based on (i) the EU taxonomy for environmental criteria, (ii) scope 1 and 2 carbon emissions data at the client level (where available) or sectoral level and (iii) internal expert judgement.",unsustainable
"These joint initiatives help to reduce our environmental footprint, improve tenant satisfaction and increase building occupancy.",sustainable
"Carbon intensity This data is provided by Trucost, This corresponds to companies’ annual greenhouse gas emissions expressed in metric tons of carbon dioxide equivalent.",unsustainable
"For this reason, we strive to reach our intensity targets by continuing to link our investment processes as closely as possible to real-world decarbonization.",sustainable
"Furthermore, ABN AMRO set up a collaboration with Ecochain to use life cycle assessment methodology to show business clients how they can make their operations more sustainable.",sustainable
BNY Mellon does not have any heating or cooling consumption.,sustainable
CNP Assurances addresses climate risk management by integrating environmental criteria and carbon-reduction objectives into the existing real estate portfolio in three ways: the systematic analysis of the improvement of energy performance when planning work; the commitment to reduce GHG emissions related to energy consumption by 40% on directly owned assets (plus wholly owned non-trading real estate companies) between 2006 and 2021: this point falls within the scope of the Gréco project launched by CNP Assurances in 2012 with the aim of drafting work plans tailored to each building from the outset in order to reduce CO2 and energy consumption; the commitment related to the signing of the Energy Efficiency Charter for Commercial Buildings.,sustainable
"The reintegrations represent the quantity of cooling fluids used for the maintenance of the air-conditioning equipment, during which the gas in operation is recovered and replaced with the new one.",unsustainable
The impact of the transport of Mister Auto parts on the Group’s global carbon footprint is therefore considered to be non-material.,unsustainable
"Talent attraction and retention Creating a safe, healthy and motivating working environment in which the well-being and personal and professional development of our employees is key.",sustainable
"“Business as usual” is not an option, but what the exact role of fertilizers will be in the longer term remains unclear at this stage.",unsustainable
"Every year, Amundi strives to integrate more recyclable materials into its sorting line.",sustainable
"The project’s long-term goal is to make plastics recyclable that cannot yet be recycled, such as mixed plastics or plastics with residues.",sustainable
"Additionally, Allianz is a strong partner of the transition to a low-carbon economy.",sustainable
"The simultaneous existence of undernourishment, obesity, the environmental footprint of food production and food waste puts the global food system under significant stress.",unsustainable
Our employee engagement level will be regularly calculated as an index score based on set questions in employee surveys.,sustainable
"Based on the portfolio analysis described above, we are working on white papers for the energy, commercial real estate, agriculture, food production, building and construction, chemicals, transportation and metals industry sectors, as well as for three specific product lines: mortgages, car loans and car leasing.",sustainable
"If we continue along our ‘BAU’ scenario for the next 10 years, green and low-carbon technologies are not developed fast enough to support the desired temperature outcome.",unsustainable
"Our unavoidable carbon emissions from building energy use, leased vehicles and business travel are offset by the purchase and retirement of high quality emission reduction certificates as part of the carbon neutral activities by Deutsche Bank.",sustainable
"To this end, he/she can suggest the issue or amendment of any guidelines and operating procedures in order to reduce the risk of violation of the Code and can suggest that the Ethics and Sustainability Committee make updates to the Code of Ethics.",sustainable
"An additional acquisition of the global vegetable seeds business followed on August 16, 2018.",unsustainable
"To reduce our impact on the environment, we have adopted well-recognized green building standards, such as LEED (Leadership in Energy and Environmental Design) or local green building standards, to manage our real estate's environmental aspect, including green lease.",sustainable
"We invest in sustainable assets to ensure the mobility solutions are safe, reliable, and resilient.",sustainable
"In handling the health crisis, Amundi has reduced its plastic consumption and its waste production.",sustainable
Treat and reuse waste and track its collection.,sustainable
The Aurum Group continues to strive to reduce its carbon footprint and once the world begins open up again will look at ways to continue to maintain low emissions wherever possible.,sustainable
"Based on the GHG protocol Scope 2 Guidance and Scope 3 Standard, energy consumption for heating purposes of leased space, where UBS does not have any operational control of the heating system, is classified as other indirect GHG emissions.",unsustainable
The Employee Satisfaction Survey is conducted on condition of anonymity in order to collect frank and honest opinions.,unsustainable
"One investee expanded to include 628 smallholder rice farmers (28% women) who received training in Good Agricultural Practices, and financial support for irrigation charges.",sustainable
Techem’s services and solutions offered help to avoid more than 6.5 million tonnes of CO2–emissions every year.,sustainable
"In addition, we committed to being carbon neutral in our global operations for Scope 1 (direct energy usage) and Scope 2 (indirect energy) emissions, beginning with the 2020 reporting year.",sustainable
"In Europe, the building stock sector generates 40% of energy consumption and accounts for 36% of CO2 emissions.",unsustainable
"Through our fund investments, we also finance energy innovations, energy efficiency measures and renewable energy on a small and large scale to enable the global energy transition.",sustainable
"On the other hand, vegetables, fruits and wheat have the lowest environmental impact.",unsustainable
"Our “Skills Accelerator” is a personal professional development program that is open to all employees, and “EMPOWER” is a program designed to encourage employees to dedicate time to aligning their skills with Company needs and jobs of the future.",sustainable
"According to the chart, consumers should further reduce their intake of processed meat, eggs, red meat and milk in favor of nuts and seeds, whole grain products, legumes and poultry.",unsustainable
In 2020 the increase is mainly due to the increase of the number of petrol powered 176 vehicles in Gori and to the increase in consumption in Acea Ato 2.,unsustainable
Companies with a large carbon footprint are increasingly affected by carbon mitigation and adaptation policies and pressured by activist organisations and financial markets.,unsustainable
"Amundi pursues a responsible paper policy both in France and abroad, with the objective of reducing its use of paper, promoting careful use of paper and recycling used paper.",sustainable
"However, while minimizing the use of chemicals benefits health and the environment, it is arguably a potential threat to the food sector given the need to produce more food to feed a growing global population.",unsustainable
We have reduced like-for-like carbon emissions by 5% (Scope 1) and 11% (Scope 2) in 2019 compared to 2018 performance.,sustainable
The responsibilities described here also apply to product packaging and recycling.,unsustainable
"Springmann’s analysis also showed that with regard to actual food intake, no country fulfilled all eight recommendations relating to recommended food groups (e.g. fruit and vegetables, legumes, nuts and seeds, whole grains and fish), as well as food groups that are discouraged (sugar, red meat and processed meat).",unsustainable
"It has reduced the water needed in the manufacturing process, now recycles 100% of its waste water, and has improved its replenishment of water through factory harvesting and pond harvesting.",sustainable
"Whether local or global, there are four focus areas under our community pillar: charity financial support, payroll giving, volunteering and fundraising.",sustainable
"As always, we only use Forest Stewardship Council (or equivalent) approved, chlorine-free paper products from well-managed forests or recycled sources for our mailings.",sustainable
There are also a growing number of cities with restricted traffic areas which exclude vehicles with the highest emissions.,unsustainable
The proponent also highlighted the lack of Scope 3 emissions reduction targets.,unsustainable
"CNP Assurances committed in 2019 to doubling its green investment assets - woodland, green bonds, high energy- performance buildings, green infrastructure such as renewable energy projects and low-carbon transport and mobility - to €20 billion by the end of 2023 compared with €10.4 billion at the end of 2018.",sustainable
"In our other offices and branches, we also strive to reduce power consumption through the adjustment of air-conditioning settings and other such measures.",sustainable
"CO2 emissions from the composting plants and Orvieto and related to the ancillary services of the waste-to-energy 211 plants, not strictly related to the production of electricity.",unsustainable
